course_id,title,level,length,timeslot,group,description,exam_type,pass_pct,median,mean
NKEA05037U - SCIENCE,Advanced Quantum Chemistry (KemiVK),Bachelor,ECTS: 7.5,Block(s): 4,Group(s): C,General angular momentum theory.Time-independent perturbation theory and variation theory.Born-Oppenheimer approximation and molecular potential energy surfaces.General operator properties and the ant...,Oral (30m),Pass 100%,Median 12,Average 10.78
NFYK15003U - SCIENCE,Advanced Quantum Mechanics (Quant3),Master,ECTS: 7.5,Block(s): 1,Group(s): B,The course is a graduate level in quantum mechanics with emphasis on providing the students with tools to understand the advanced courses within the quantum branch of the master program. The introduct...,"Continuous Assesment
Written (4h)",Pass 94.2%,Median 10,Average 9.29
NFYK18004U - SCIENCE,Advanced Quantum Optics and Photonics,Master,ECTS: 7.5,Block(s): 4,Group(s): B,"The course will introduce the students to advanced topics in quantum optics, especially in solid-state nanophotonic systems. It provides a detailed description of the quantum treatment of light-matter...",Oral (25m),Pass 94.44%,Median 10,Average 8.83
NKEK11003U - SCIENCE,Advanced Synthetic Techniques,Master,ECTS: 7.5,Block(s): Summer,Group(s): A,This is an advanced synthesis course designed to train students at the master's level (and at the PhD level). The course will describe and discuss modern tecniques for the synthesis of advanced organi...,Assignment,Pass 95.65%,Median N/A,Average N/A
NDAK24003U - SCIENCE,Advanced Topics in Deep Learning (ATDL),Master,ECTS: 7.5,Block(s): 1,Group(s): A,"This course will give you detailed insight into advanced deep learning methods and techniques, covering algorithms, theory and tools in this exciting and fast advancing field.This is an advanced topic...",Continuous Assesment,Pass 100%,Median 10,Average 8.9
NDAK15012U - SCIENCE,Advanced Topics in Human-Centred Computing (ATHCC),Master,ECTS: 7.5,Block(s): 3,Group(s): C,"The aim of the course is to introduce participants to advanced topics in human-centred computing (HCC). HCC spans human-computer interaction, methods for prototyping and developing, and advanced inter...",Continuous Assesment,Pass 76.6%,Median 10,Average 8.83
NDAK15013U - SCIENCE,Advanced Topics in Image Analysis (ATIA),Master,ECTS: 7.5,Block(s): 1,Group(s): B,The purpose of this course is to expose the student to selected advanced topics in image analysis. The course will bring the student up to a level sufficient for master thesis work within image analys...,Assignment,Pass 83.33%,Median 7,Average 6
NDAK15014U - SCIENCE,Advanced Topics in Machine Learning (ATML),Master,ECTS: 7.5,Block(s): 1,Group(s): C,"As machine learning models are often trained on data containing sensitive private information, it is important to provide reasonable privacy protection to the individuals whose data is included. This ...",Continuous Assesment,Pass 91.18%,Median 10,Average 8.44
NDAK19001U - SCIENCE,Advanced Topics in Natural Language Processing (ATNLP),Master,ECTS: 7.5,Block(s): 2,Group(s): A,The purpose of this course is to expose students to selected advanced topics in natural language processing. The course will bring the students up to a level sufficient for writing their master thesis...,Continuous Assesment,Pass 100%,Median 7,Average 7.58
NDAK24007U - SCIENCE,Advanced Topics in Programming Languages (ATPL),Master,ECTS: 7.5,Block(s): 2,Group(s): B,"This course provides an introduction to state-of-the-art research within an area of programming languages involving theory, design, reasoning, implementation and/or application of programming language...",Oral (30m),Pass 93.75%,Median 10,Average 9.4
NMAK15005U - SCIENCE,Advanced Vector Spaces (AdVec),Master,ECTS: 7.5,Block(s): 1,Group(s): A,"This course covers the fundamentals of linear and multilinear algebra as well as more advanced subjects within the field, from a theoretical point of view with emphasis on proofs.Subjects includeFunda...",Oral (30m),Pass 78.13%,Median 10,Average 7.55
NKEK22001U - SCIENCE,Advanced Vibrational Spectroscopy,Master,ECTS: 7.5,Block(s): 3,Group(s): A,This course will describe aspects of both experimental and theoretical advanced vibrational and rotational spectroscopy. It will consider mainly gas phase spectroscopy but with links to jet expansion ...,Oral (30m),Pass 85.71%,Median 12,Average 8.64
NIGK15002U - SCIENCE,Aerial and Near-field Remote Sensing,Master,ECTS: 7.5,Block(s): 3,Group(s): B,"The course teaches fundamental understanding of the use of drones and fixed/mobile camera systems in biogeosciences, for advanced photo-monitoring and 3D modeling of different surface types. We evalua...","Assignment
Oral (20m)",Pass 94.74%,Median 10,Average 8.37
NGEA04077U - SCIENCE,Aflyst Fødevarernes globale geografi,Bachelor,ECTS: 7.5,Block(s): 1,Group(s): C,"Kurset omhandler den globale produktion og fordeling af fødevarer med fokus på regionale, agro-økologiske, miljømæssige, teknologiske og økonomiske aspekter af verdens fødevareforsyning og fødevaresik...","Assignment
Oral (20m)",Pass 100%,Median 7,Average 6.82
NNEK14012U - SCIENCE,Aflyst Sundhedssociologi,Master,ECTS: 7.5,Block(s): 2,Group(s): B,"Regeringens folkesundhedsprogram problematiserer befolkningens sundhedstilstand og ønsker, at individet selv tager ansvar for sundhed og sygdom, det værende med hensyn til kost, motion, rygning eller ...",Assignment (5d),Pass 83.33%,Median 7,Average 6.08
LOJK10255U - SCIENCE,Agricultural and Food Policy,Master,ECTS: 7.5,Block(s): 4,Group(s): A,"The agri-food sector contributes to, and is affected by, several environmental and social challenges, including, for example, climate change, deforestation, poverty, malnutrition, and poor working con...","Oral (20m)
Assignment",Pass 96.15%,Median 11,Average 9.73
LOJK10292U - SCIENCE,Agricultural Value Chains in Developing Countries,Master,ECTS: 7.5,Block(s): 4,Group(s): B,Sustainable development of the agricultural sector is recognized as an important factor in the economic growth of all developing countries. This recognition has led to a growing interest among governm...,"Assignment
Oral (20m)",Pass 94.12%,Median 7,Average 7.97
LPLK10287U - SCIENCE,Agroforestry,Master,ECTS: 7.5,Block(s): 2,Group(s): A,"Agroforestry framework, terminology and historyCrops and trees interaction with microclimate and water, including trees' role in mitigating wind mechanical wind impact and fireThe role of trees and cr...","Assignment (1d)
Oral (20m)",Pass 100%,Median 10,Average 8.81
NKEA09012U - SCIENCE,Air Pollution and Health,Master,ECTS: 7.5,Block(s): 2,Group(s): B, After an introduction to atmospheric chemistry then indoor (industrial and non-industrial) and outdoor air pollution will be treated followed by toxicological approaches. Modeling and pollution conce...,Oral (25m),Pass 100%,Median 10,Average 8.61
NMAA06066U - SCIENCE,Algebra 1 (Alg1),Bachelor,ECTS: 7.5,Block(s): 1,Group(s): A,"Grupper, diedergrupper, symmetriske og alternerende grupper, matrixgrupper, homomorfier og isomorfier, undergrupper, cykliske grupper og cykliske undergrupper, frembragte undergrupper, sideklasser, no...",Written (3h),Pass 77.06%,Median 4,Average 4.88
NMAA07005U - SCIENCE,Algebra 2 (Alg2),Bachelor,ECTS: 7.5,Block(s): 3,Group(s): C,"Ringe, legemer, homomorfier, idealer, kvotientringe, brøkringe. Faktorisering i kommutative ringe, hovedidealområder, Euklidiske ringe. Polynomiumsringe, faktorisering i polynomiumsringe, irreducibi...",Oral (30m),Pass 91.07%,Median 7,Average 6.66
NMAA05014U - SCIENCE,Algebra 3 (Alg3),Master,ECTS: 7.5,Block(s): 1,Group(s): B,"Field extensions, algebraic extensions, splitting fields, separable polynomials and extensions, cyclotomic polynomials and extensions, Galois theory, composite fields, Galois groups of polynomials, ab...",Oral (30m),Pass 97.14%,Median 10,Average 8.6
NMAK22018U - SCIENCE,Algebraic Geometry (AlgGeo),Master,ECTS: 7.5,Block(s): 4,Group(s): C,"Algebraic Geometry is the study of geometric structures arising from solution sets of polynomial equations, and forms a central part of modern mathematics. It has numerous applications, ranging from...",Oral (30m),Pass 94.12%,Median 10,Average 8.56
NMAK16000U - SCIENCE,Algebraic Geometry 2 (AlgGeo2),Master,ECTS: 7.5,Block(s): 1,Group(s): C,"This course is an introduction to scheme theory. We will cover affine schemes, gluing for general schemes, local and global properties of schemes, and morphisms of schemes, quasicoherent sheaves on sc...",Continuous Assesment,Pass 100%,Median 10,Average 10.38
NMAK17011U - SCIENCE,Algebraic Number Theory (AlgNT),Master,ECTS: 7.5,Block(s): 4,Group(s): A,"Algebraic number fields and their rings of integers, trace, norm, and discriminants, prime decomposition in Dedekind domains and rings of integers, prime decomposition in quadratic and cyclotomic numb...",Continuous Assesment,Pass 81.82%,Median 10,Average 8.55
NMAA05038U - SCIENCE,Algebraic Topology (AlgTop),Master,ECTS: 7.5,Block(s): 1,Group(s): C,"This course is a first introduction to algebraic topology, the area of mathematics in which algebra is used to study topological spaces.  We will define the fundamental group and singular homology and...",Oral (20m),Pass 95.45%,Median 10,Average 9.36
NMAA09039U - SCIENCE,Algebraic Topology 2 (AlgTop2),Master,ECTS: 7.5,Block(s): 4,Group(s): B,"This course will be an introduction to homotopy theory and spectral sequences. The first part will focus on elementary homotopy theory covering e.g., fibrations, cofibrations, cellular approximation, ...",Continuous Assesment,Pass 100%,Median 12,Average 11.25
NDAA04010U - SCIENCE,Algoritmer og datastrukturer (AD),Bachelor,ECTS: 7.5,Block(s): 3,Group(s): C,"Kursets formål er at præsentere en række algoritmiske paradigmer (herunder del og hersk, grådige algoritmer og dynamisk programmering), samt at introducere en række analyseværktøjer (korrekthed, køret...",ITX (4h),Pass 67.78%,Median 4,Average 4.31
NBIA04031U - SCIENCE,Almen biokemi 1 (BioK1),Bachelor,ECTS: 7.5,Block(s): 4,Group(s): B,Kurset har til formål at give en teoretisk indføring i biokemiens hovedområder med vægt på struktur og funktion af de vigtigste makromolekyler og generel metabolisme samt enzymologi gennem forelæsning...,Written (4h),Pass 83.13%,Median 7,Average 6.48
NBIA04036U - SCIENCE,Almen cellebiologi (Cellebiol),Bachelor,ECTS: 7.5,Block(s): 1,Group(s): A,"Kurset giver en grundig introduktion til cellebiologi, og der sigtes imod at give de studerende et teoretisk fundament for videre studier inden for det cellebiologiske område og kompetencer til at vur...",ITX (3h),Pass 86.75%,Median 7,Average 7.08
NKEB10006U - SCIENCE,Almen kemi,Bachelor,ECTS: 15,Block(s): 1,Group(s): A,"Kurset indeholder en indføring i almen, fysisk og organisk kemi med særlig vægt på områder af kemien, der er væsentlige for forståelsen af biokemiske og biomedicinske emner og problemstillinger. Følge...",Written (4h),Pass 95.89%,Median 7,Average 7.95
LKEB10108U - SCIENCE,Almen kemi for biovidenskab,Bachelor,ECTS: 7.5,Block(s): 2,Group(s): C,"Kursets faglige indhold er centreret omkring grundlæggende almen kemi med speciel fokus på emner af relevans for det biovidenskabelige fagområde.Dette inkluderer det periodiske system, elektronkonfigu...",Written (4h),Pass 68.85%,Median 2,Average 3.84
NBIA04034U - SCIENCE,Almen mikrobiologi (Mikrobiol),Bachelor,ECTS: 7.5,Block(s): 2,Group(s): A,Forelæsninger: Forelæsningerne holdes på baggrund af lærebogen som en gennemgang af en række mikrobiologiske emner med omtale af vigtige begreber og udvalgte bakterier. Øvelser: Laboratorieøvelsern...,ITX (2h),Pass 96.82%,Median 7,Average 7.05
NBIA04033U - SCIENCE,Almen molekylærbiologi (Molbiol),Bachelor,ECTS: 7.5,Block(s): 1,Group(s): A,"Kurset sigter efter at give de studerende en tilstrækkelig fortrolighed med den klassiske såvel som den moderne molekylære genetiks begreber, eksperimentelle grundlag og resultater, således at de har ...",ITX (4h),Pass 98.18%,Median 7,Average 7.48
NKEB11004U - SCIENCE,Almen og uorganisk kemi (AlmUorg),Bachelor,ECTS: 7.5,Block(s): 3,Group(s): C,"Struktur og opbygning af det periodiske system, oktetregel, Lewisstruktur, VSEPR, udvalgte grundstoffers kemi i vandig opløsning, støkiometriske beregninger, uorganisk-kemisk nomenklatur, syre/base-, ...",ITX (4h),Pass 81.9%,Median 10,Average 7.22
NBIA04030U - SCIENCE,Almen Økologi (Økologi),Bachelor,ECTS: 7.5,Block(s): 3,Group(s): C,I løbet af kurset behandles en række emner:Puljer og processer i naturenPrimærproduktionSekundærproduktionNedbrydningStofkredsløbSuccessionKlima og biomerKarakteristik af terrestriske og akvatiske øko...,ITX (4h),Pass 100%,Median 10,Average 8.73
NMAK18000U - SCIENCE,An Introduction to Large Deviations,Master,ECTS: 7.5,Block(s): 1,Group(s): C,This will be an introductory course in the theory of large deviations and its applications.  Topics will include:  Cramer's theorem for sample means and for ruin problems in one and higher dimensions;...,Oral (30m),Pass N/A,Median N/A,Average N/A
NMAA09041U - SCIENCE,Analyse 0 (An0),Bachelor,ECTS: 7.5,Block(s): 3,Group(s): A,Funktioner fra flere variable ind i flere variable: kontinuitet og differentiabilitet.Ekstremumsundersøgelse for funktioner af flere variableRiemannintegraletKurveintegralerStamfunktionsproblemet i fl...,Oral (30m),Pass 78.31%,Median 10,Average 8.18
NMAA04016U - SCIENCE,Analyse 1 (An1),Bachelor,ECTS: 7.5,Block(s): 4,Group(s): A,Talfølger og talrækker.Funktionsfølger og funktionsrækker.Punktvis og uniform konvergens.Potensrækker.Fourierrækker.Introduktion til metriske rum.,Continuous Assesment,Pass 94.81%,Median 7,Average 7.86
NBIB21000U - SCIENCE,Analyse og visualisering af biologiske datasæt,Bachelor,ECTS: 7.5,Block(s): 2,Group(s): B,Dette kursus fokuserer på praktiske og effektive anvendelser af R til at løse virkelige problemstillinger inden for det biologiske område. Kurset er blandt andet målrettet håndteringen af den stigende...,"Written (4h)
Continuous Assesment",Pass 92.68%,Median 12,Average 9.05
NIFK25003U - SCIENCE,"Analysing Public Policy: Institutions, Time and Processes",Master,ECTS: 7.5,Block(s): 1,Group(s): C,"The way in which governments respond to policy problems is puzzling, not only for scholars but often also for practitioners. Rational problem solving often proves difficult as policy makers attempt to...",Oral (30m),Pass N/A,Median N/A,Average N/A
NMAK22000U - SCIENCE,Analysis in Quantum Information Theory,Master,ECTS: 7.5,Block(s): 2,Group(s): B,"The purpose of this course is to give the analytic background behind quantum information theory in the framework of operators on Hilbert spaces and functional analysis, including the following topics:...",Continuous Assesment,Pass 100%,Median 10,Average 9.45
NPLB14027U - SCIENCE,Analytical Chemistry,Bachelor,ECTS: 7.5,Block(s): 3,Group(s): C,"The course topics include: An introduction to analytical chemistry: choice of analytical methodology, sampling, sample preparation, chemical analysis, tools for quantitative chemical analysis, quality...",Oral (20m),Pass 100%,Median 10,Average 7.48
NFYB20001U - SCIENCE,Analytical Mechanics,Bachelor,ECTS: 7.5,Block(s): 1,Group(s): C,"This course addresses itself to all who wish to understand the more formal aspects of Physics, and in particular it is a ""must"" for anybody wishing to specialize in Theoretical Physics. The course int...","Written (4h)
Continuous Assesment",Pass 94.34%,Median 10,Average 8.25
NNMK24000U - SCIENCE,Animal Diversity and Evolution,Master,ECTS: 7.5,Block(s): 4,Group(s): A,"Come study the entire spectrum of diversity covering marine, freshwater, and terrestrial organisms that make up the Animal Kingdom. You’ll be instructed on this course by a host of experts on differen...",Oral (20m),Pass N/A,Median N/A,Average N/A
LSLS10167U - SCIENCE,Anlægsstyring,Bachelor,ECTS: 7.5,Block(s): 1,Group(s): A,"Kurset belyser elementerne, der er tilknyttet anlægssager fra projektidé til aflevering. Den studerende vil gennem kurset arbejde med tre temaer der indrammer anlægsarbejde: 1) byggeriets rammer og by...",Oral (30m),Pass 91.67%,Median 7,Average 8.09
LSLS10179U - SCIENCE,Anlægsteknik og projektering,Bachelor,ECTS: 7.5,Block(s): 3,Group(s): B,"Kurset omhandler de første faser i etableringen af anlægsprojekter. Gennem konkrete anlægssager, vil den studerende få indblik i de arbejdsrammer der er tilknyttet bygge og anlægssektoren.Den studeren...",Assignment,Pass N/A,Median N/A,Average N/A
NPLB20001U - SCIENCE,Anvendt bioteknologi,Bachelor,ECTS: 7.5,Block(s): 2,Group(s): A,"Formålet med kurset er, at de studerende skal kunne kombinere deres biologiske basis viden, og få indsigt i de bioteknologiske metoder og teknikker, der bruges til at udvikle innovative løsninger. Der...",Oral (20m),Pass 90.91%,Median 10,Average 9.6
NIGB21021U - SCIENCE,Anvendt geofysik i geoscience,Bachelor,ECTS: 7.5,Block(s): 4,Group(s): C,"Kurset gennemgår det basale teoretiske grundlag for og praktisk anvendelse af geofysiske metoder, som finder bred anvendelse indenfor geologi, geofysik, naturgeografi og i et vist omfang indenfor arkæ...",Oral (20m),Pass 96%,Median 7,Average 7.8
NKEB13004U - SCIENCE,Anvendt matematik for kemikere (AnvMatKem),Bachelor,ECTS: 7.5,Block(s): 3,Group(s): B,"Grundlæggende matematiske metoder anvendt på kemiske problemstillinger. Kurset er emnemæssigt delt op i tre moduler.Modul 1: Lineær algebraVektorer og matricer, løsning af lineære ligningssystemer, pe...",ITX (4h),Pass 89.23%,Median 10,Average 8.83
NIFB17000U - SCIENCE,Anvendt økonomisk analyse,Bachelor,ECTS: 7.5,Block(s): 1,Group(s): B,"Kurset giver en indføring i teorigrundlaget bag samfundsøkonomiske analyser. Desuden gives eksempler på praktiske samfundsøkonomiske analyser, der kan understøtte politiske beslutninger på fødevare- o...",Oral (20m),Pass 100%,Median 10,Average 8.92
NKEB13006U - SCIENCE,Anvendt spektroskopi (AnvSpek),Bachelor,ECTS: 7.5,Block(s): 4,Group(s): C,At give studerende den nødvendige baggrund og erfaring i at anvende de mest almindelige spektroskopiske metoder til identifikation og karakterisering af organiske og uorganiske kemiske forbindelser. ...,"Written (3h)
Continuous Assesment",Pass 93.55%,Median 4,Average 5.82
NIFB14002U - SCIENCE,Anvendt spilteori,Bachelor,ECTS: 7.5,Block(s): 4,Group(s): A,"Samfundet er fyldt til randen med interaktioner med indbyrdes afhængige valg, hvor resultatet for én påvirkes af andres valg. Eksempler spænder fra multinationale aftaler om handel til virksomheder, d...",Written (4h),Pass 68.18%,Median 3,Average 4.32
NFYK12004U - SCIENCE,"Applications of X-ray and Neutron Scattering in Biology, Chemistry and Physics",Master,ECTS: 7.5,Block(s): Summer,Group(s): A,With the upcoming facilities MAX-VI and ESS in Lund the overall goal of this course is to make students aware of the potential of these large-scale facilities on their own research. By following this ...,Assignment,Pass 100%,Median N/A,Average N/A
NPLK14023U - SCIENCE,Applied Agrohydrology,Master,ECTS: 7.5,Block(s): 2,Group(s): B,The objectives of the course are to obtain advanced and applicable knovledge on agrohydrological and soil physical properties and processes at the field scale affecting plant production and the enviro...,"Oral (30m)
Assignment",Pass 100%,Median 11,Average 10.5
NMAK23001U - SCIENCE,Applied Algebra and Geometry,Master,ECTS: 7.5,Block(s): 2,Group(s): A,"The aim of this course is to introduce the students to the beautiful world of polynomials and polyhedral objects, and their many relevant applications in real life.Specifically, the course covers two ...",Continuous Assesment,Pass 85.71%,Median 10,Average 8.21
LOJK10272U - SCIENCE,Applied Econometrics,Master,ECTS: 7.5,Block(s): 1,Group(s): B,This course aims at providing the student basic knowledge about relatively advanced regression models and methods that are relevant to applied economists. With a mix of econometric theory and applicat...,ITX (4h),Pass 96.51%,Median 7,Average 6.94
NIFK15003U - SCIENCE,Applied Economics of Consumption,Master,ECTS: 7.5,Block(s): 4,Group(s): C,In this course we consider the various aspects of empirical economic analysis from data generation to interpreting and using the results. An important objective of the course is to train the students ...,Oral (20m),Pass 100%,Median 10,Average 9.56
LOJK10282U - SCIENCE,Applied Economics of Forest and Nature,Master,ECTS: 7.5,Block(s): 2,Group(s): C,The course covers the following topics: Introduction to general economics of biological production and capital investment. Production economics and investment theory of forests and natural resources:...,ITX (4h),Pass 89.09%,Median 7,Average 6.87
NIGK16000U - SCIENCE,Applied Ecosystem Ecology,Master,ECTS: 7.5,Block(s): 3,Group(s): A,"The central idea of the course is to study the mechanisms and processes that control ecosystem functioning via interactions between organisms, the environment and human activities. With a focus on qua...","Written (2h)
Continuous Assesment",Pass 96.15%,Median 10,Average 8.52
NIFK13003U - SCIENCE,Applied Environmental and Natural Resource Economics,Master,ECTS: 7.5,Block(s): 4,Group(s): B,"Assuming that the participants already have a comprehensive understanding of environmental and natural resource economics as well as basic understanding of relevant natural sciences, it is the objecti...","Assignment
Oral (20m)",Pass 100%,Median 10,Average 10.07
NIGK24014U - SCIENCE,Applied Ethnobotany,Master,ECTS: 7.5,Block(s): 1,Group(s): A,"The course will introduce students to research at the interface between several disciplines, using methods derived from botany, anthropology, ecology, economy, ethno-medicine, climate and conservation...","Oral (30m)
Assignment",Pass 100%,Median 10,Average 9.44
NGEK10002U - SCIENCE,Applied GIS and Geoinformatics for Urban Spatial Analysis,Master,ECTS: 7.5,Block(s): 1,Group(s): A,This course focuses on advanced spatial analysis using GIS/Geoinformatics in an urban context. The overall aim is to provide the participants with a solid understanding of relevant theories and method...,"Assignment
Oral (20m)",Pass 100%,Median 7,Average 7.9
NPLK18001U - SCIENCE,Applied Insect Ecology and Biological Control,Master,ECTS: 7.5,Block(s): 2,Group(s): B,"Management of insect pest populations requires an ecologically based knowledge and understanding of their biology, lifecycles and their interactions with host plants and with their natural enemies. Cl...",Oral (20m),Pass 100%,Median 10,Average 9.38
