course_id,title,level,length,timeslot,group,description,exam_type,pass_pct,median,mean,fail_pct
NIGK15002U - SCIENCE,Aerial and Near-field Remote Sensing,Master, 7.5,3, B,"The course teaches fundamental understanding of the use of drones and fixed/mobile camera systems in biogeosciences, for advanced photo-monitoring and 3D modeling of different surface types. We evalua...","Assignment
Oral (20m)",Pass 94.74%, 10, 8.37,5.260000000000005
NGEA04077U - SCIENCE,Aflyst Fødevarernes globale geografi,Bachelor, 7.5,1, C,"Kurset omhandler den globale produktion og fordeling af fødevarer med fokus på regionale, agro-økologiske, miljømæssige, teknologiske og økonomiske aspekter af verdens fødevareforsyning og fødevaresik...","Assignment
Oral (20m)",Pass 100%, 7, 6.82,0.0
NNEK14012U - SCIENCE,Aflyst Sundhedssociologi,Master, 7.5,2, B,"Regeringens folkesundhedsprogram problematiserer befolkningens sundhedstilstand og ønsker, at individet selv tager ansvar for sundhed og sygdom, det værende med hensyn til kost, motion, rygning eller ...",Assignment (5d),Pass 83.33%, 7, 6.08,16.67
LOJK10255U - SCIENCE,Agricultural and Food Policy,Master, 7.5,4, A,"The agri-food sector contributes to, and is affected by, several environmental and social challenges, including, for example, climate change, deforestation, poverty, malnutrition, and poor working con...","Oral (20m)
Assignment",Pass 96.15%, 11, 9.73,3.8499999999999943
LOJK10292U - SCIENCE,Agricultural Value Chains in Developing Countries,Master, 7.5,4, B,Sustainable development of the agricultural sector is recognized as an important factor in the economic growth of all developing countries. This recognition has led to a growing interest among governm...,"Assignment
Oral (20m)",Pass 94.12%, 7, 7.97,5.8799999999999955
LPLK10287U - SCIENCE,Agroforestry,Master, 7.5,2, A,"Agroforestry framework, terminology and historyCrops and trees interaction with microclimate and water, including trees' role in mitigating wind mechanical wind impact and fireThe role of trees and cr...","Assignment (1d)
Oral (20m)",Pass 100%, 10, 8.81,0.0
NKEA09012U - SCIENCE,Air Pollution and Health,Master, 7.5,2, B, After an introduction to atmospheric chemistry then indoor (industrial and non-industrial) and outdoor air pollution will be treated followed by toxicological approaches. Modeling and pollution conce...,Oral (25m),Pass 100%, 10, 8.61,0.0
NMAA06066U - SCIENCE,Algebra 1 (Alg1),Bachelor, 7.5,1, A,"Grupper, diedergrupper, symmetriske og alternerende grupper, matrixgrupper, homomorfier og isomorfier, undergrupper, cykliske grupper og cykliske undergrupper, frembragte undergrupper, sideklasser, no...",Written (3h),Pass 77.06%, 4, 4.88,22.939999999999998
NMAA07005U - SCIENCE,Algebra 2 (Alg2),Bachelor, 7.5,3, C,"Ringe, legemer, homomorfier, idealer, kvotientringe, brøkringe. Faktorisering i kommutative ringe, hovedidealområder, Euklidiske ringe. Polynomiumsringe, faktorisering i polynomiumsringe, irreducibi...",Oral (30m),Pass 91.07%, 7, 6.66,8.930000000000007
NMAA05014U - SCIENCE,Algebra 3 (Alg3),Master, 7.5,1, B,"Field extensions, algebraic extensions, splitting fields, separable polynomials and extensions, cyclotomic polynomials and extensions, Galois theory, composite fields, Galois groups of polynomials, ab...",Oral (30m),Pass 97.14%, 10, 8.6,2.8599999999999994
NMAK22018U - SCIENCE,Algebraic Geometry (AlgGeo),Master, 7.5,4, C,"Algebraic Geometry is the study of geometric structures arising from solution sets of polynomial equations, and forms a central part of modern mathematics. It has numerous applications, ranging from...",Oral (30m),Pass 94.12%, 10, 8.56,5.8799999999999955
NMAK16000U - SCIENCE,Algebraic Geometry 2 (AlgGeo2),Master, 7.5,1, C,"This course is an introduction to scheme theory. We will cover affine schemes, gluing for general schemes, local and global properties of schemes, and morphisms of schemes, quasicoherent sheaves on sc...",Continuous Assesment,Pass 100%, 10, 10.38,0.0
NMAK17011U - SCIENCE,Algebraic Number Theory (AlgNT),Master, 7.5,4, A,"Algebraic number fields and their rings of integers, trace, norm, and discriminants, prime decomposition in Dedekind domains and rings of integers, prime decomposition in quadratic and cyclotomic numb...",Continuous Assesment,Pass 81.82%, 10, 8.55,18.180000000000007
NMAA05038U - SCIENCE,Algebraic Topology (AlgTop),Master, 7.5,1, C,"This course is a first introduction to algebraic topology, the area of mathematics in which algebra is used to study topological spaces.  We will define the fundamental group and singular homology and...",Oral (20m),Pass 95.45%, 10, 9.36,4.549999999999997
NMAA09039U - SCIENCE,Algebraic Topology 2 (AlgTop2),Master, 7.5,4, B,"This course will be an introduction to homotopy theory and spectral sequences. The first part will focus on elementary homotopy theory covering e.g., fibrations, cofibrations, cellular approximation, ...",Continuous Assesment,Pass 100%, 12, 11.25,0.0
NDAA04010U - SCIENCE,Algoritmer og datastrukturer (AD),Bachelor, 7.5,3, C,"Kursets formål er at præsentere en række algoritmiske paradigmer (herunder del og hersk, grådige algoritmer og dynamisk programmering), samt at introducere en række analyseværktøjer (korrekthed, køret...",ITX (4h),Pass 67.78%, 4, 4.31,32.22
NBIA04031U - SCIENCE,Almen biokemi 1 (BioK1),Bachelor, 7.5,4, B,Kurset har til formål at give en teoretisk indføring i biokemiens hovedområder med vægt på struktur og funktion af de vigtigste makromolekyler og generel metabolisme samt enzymologi gennem forelæsning...,Written (4h),Pass 83.13%, 7, 6.48,16.870000000000005
NBIA04036U - SCIENCE,Almen cellebiologi (Cellebiol),Bachelor, 7.5,1, A,"Kurset giver en grundig introduktion til cellebiologi, og der sigtes imod at give de studerende et teoretisk fundament for videre studier inden for det cellebiologiske område og kompetencer til at vur...",ITX (3h),Pass 86.75%, 7, 7.08,13.25
NKEB10006U - SCIENCE,Almen kemi,Bachelor, 15,1, A,"Kurset indeholder en indføring i almen, fysisk og organisk kemi med særlig vægt på områder af kemien, der er væsentlige for forståelsen af biokemiske og biomedicinske emner og problemstillinger. Følge...",Written (4h),Pass 95.89%, 7, 7.95,4.109999999999999
LKEB10108U - SCIENCE,Almen kemi for biovidenskab,Bachelor, 7.5,2, C,"Kursets faglige indhold er centreret omkring grundlæggende almen kemi med speciel fokus på emner af relevans for det biovidenskabelige fagområde.Dette inkluderer det periodiske system, elektronkonfigu...",Written (4h),Pass 68.85%, 2, 3.84,31.150000000000006
NBIA04034U - SCIENCE,Almen mikrobiologi (Mikrobiol),Bachelor, 7.5,2, A,Forelæsninger: Forelæsningerne holdes på baggrund af lærebogen som en gennemgang af en række mikrobiologiske emner med omtale af vigtige begreber og udvalgte bakterier. Øvelser: Laboratorieøvelsern...,ITX (2h),Pass 96.82%, 7, 7.05,3.180000000000007
NBIA04033U - SCIENCE,Almen molekylærbiologi (Molbiol),Bachelor, 7.5,1, A,"Kurset sigter efter at give de studerende en tilstrækkelig fortrolighed med den klassiske såvel som den moderne molekylære genetiks begreber, eksperimentelle grundlag og resultater, således at de har ...",ITX (4h),Pass 98.18%, 7, 7.48,1.8199999999999932
NKEB11004U - SCIENCE,Almen og uorganisk kemi (AlmUorg),Bachelor, 7.5,3, C,"Struktur og opbygning af det periodiske system, oktetregel, Lewisstruktur, VSEPR, udvalgte grundstoffers kemi i vandig opløsning, støkiometriske beregninger, uorganisk-kemisk nomenklatur, syre/base-, ...",ITX (4h),Pass 81.9%, 10, 7.22,18.099999999999994
NBIA04030U - SCIENCE,Almen Økologi (Økologi),Bachelor, 7.5,3, C,I løbet af kurset behandles en række emner:Puljer og processer i naturenPrimærproduktionSekundærproduktionNedbrydningStofkredsløbSuccessionKlima og biomerKarakteristik af terrestriske og akvatiske øko...,ITX (4h),Pass 100%, 10, 8.73,0.0
NMAA09041U - SCIENCE,Analyse 0 (An0),Bachelor, 7.5,3, A,Funktioner fra flere variable ind i flere variable: kontinuitet og differentiabilitet.Ekstremumsundersøgelse for funktioner af flere variableRiemannintegraletKurveintegralerStamfunktionsproblemet i fl...,Oral (30m),Pass 78.31%, 10, 8.18,21.689999999999998
NMAA04016U - SCIENCE,Analyse 1 (An1),Bachelor, 7.5,4, A,Talfølger og talrækker.Funktionsfølger og funktionsrækker.Punktvis og uniform konvergens.Potensrækker.Fourierrækker.Introduktion til metriske rum.,Continuous Assesment,Pass 94.81%, 7, 7.86,5.189999999999998
NBIB21000U - SCIENCE,Analyse og visualisering af biologiske datasæt,Bachelor, 7.5,2, B,Dette kursus fokuserer på praktiske og effektive anvendelser af R til at løse virkelige problemstillinger inden for det biologiske område. Kurset er blandt andet målrettet håndteringen af den stigende...,"Written (4h)
Continuous Assesment",Pass 92.68%, 12, 9.05,7.319999999999993
NMAK22000U - SCIENCE,Analysis in Quantum Information Theory,Master, 7.5,2, B,"The purpose of this course is to give the analytic background behind quantum information theory in the framework of operators on Hilbert spaces and functional analysis, including the following topics:...",Continuous Assesment,Pass 100%, 10, 9.45,0.0
NPLB14027U - SCIENCE,Analytical Chemistry,Bachelor, 7.5,3, C,"The course topics include: An introduction to analytical chemistry: choice of analytical methodology, sampling, sample preparation, chemical analysis, tools for quantitative chemical analysis, quality...",Oral (20m),Pass 100%, 10, 7.48,0.0
NFYB20001U - SCIENCE,Analytical Mechanics,Bachelor, 7.5,1, C,"This course addresses itself to all who wish to understand the more formal aspects of Physics, and in particular it is a ""must"" for anybody wishing to specialize in Theoretical Physics. The course int...","Written (4h)
Continuous Assesment",Pass 94.34%, 10, 8.25,5.659999999999997
LSLS10167U - SCIENCE,Anlægsstyring,Bachelor, 7.5,1, A,"Kurset belyser elementerne, der er tilknyttet anlægssager fra projektidé til aflevering. Den studerende vil gennem kurset arbejde med tre temaer der indrammer anlægsarbejde: 1) byggeriets rammer og by...",Oral (30m),Pass 91.67%, 7, 8.09,8.329999999999998
NPLB20001U - SCIENCE,Anvendt bioteknologi,Bachelor, 7.5,2, A,"Formålet med kurset er, at de studerende skal kunne kombinere deres biologiske basis viden, og få indsigt i de bioteknologiske metoder og teknikker, der bruges til at udvikle innovative løsninger. Der...",Oral (20m),Pass 90.91%, 10, 9.6,9.090000000000003
NIGB21021U - SCIENCE,Anvendt geofysik i geoscience,Bachelor, 7.5,4, C,"Kurset gennemgår det basale teoretiske grundlag for og praktisk anvendelse af geofysiske metoder, som finder bred anvendelse indenfor geologi, geofysik, naturgeografi og i et vist omfang indenfor arkæ...",Oral (20m),Pass 96%, 7, 7.8,4.0
NKEB13004U - SCIENCE,Anvendt matematik for kemikere (AnvMatKem),Bachelor, 7.5,3, B,"Grundlæggende matematiske metoder anvendt på kemiske problemstillinger. Kurset er emnemæssigt delt op i tre moduler.Modul 1: Lineær algebraVektorer og matricer, løsning af lineære ligningssystemer, pe...",ITX (4h),Pass 89.23%, 10, 8.83,10.769999999999996
NIFB17000U - SCIENCE,Anvendt økonomisk analyse,Bachelor, 7.5,1, B,"Kurset giver en indføring i teorigrundlaget bag samfundsøkonomiske analyser. Desuden gives eksempler på praktiske samfundsøkonomiske analyser, der kan understøtte politiske beslutninger på fødevare- o...",Oral (20m),Pass 100%, 10, 8.92,0.0
NKEB13006U - SCIENCE,Anvendt spektroskopi (AnvSpek),Bachelor, 7.5,4, C,At give studerende den nødvendige baggrund og erfaring i at anvende de mest almindelige spektroskopiske metoder til identifikation og karakterisering af organiske og uorganiske kemiske forbindelser. ...,"Written (3h)
Continuous Assesment",Pass 93.55%, 4, 5.82,6.450000000000003
NIFB14002U - SCIENCE,Anvendt spilteori,Bachelor, 7.5,4, A,"Samfundet er fyldt til randen med interaktioner med indbyrdes afhængige valg, hvor resultatet for én påvirkes af andres valg. Eksempler spænder fra multinationale aftaler om handel til virksomheder, d...",Written (4h),Pass 68.18%, 3, 4.32,31.819999999999993
NFYK12004U - SCIENCE,"Applications of X-ray and Neutron Scattering in Biology, Chemistry and Physics",Master, 7.5,Summer, A,With the upcoming facilities MAX-VI and ESS in Lund the overall goal of this course is to make students aware of the potential of these large-scale facilities on their own research. By following this ...,Assignment,Pass 100%, N/A, N/A,0.0
NPLK14023U - SCIENCE,Applied Agrohydrology,Master, 7.5,2, B,The objectives of the course are to obtain advanced and applicable knovledge on agrohydrological and soil physical properties and processes at the field scale affecting plant production and the enviro...,"Oral (30m)
Assignment",Pass 100%, 11, 10.5,0.0
NMAK23001U - SCIENCE,Applied Algebra and Geometry,Master, 7.5,2, A,"The aim of this course is to introduce the students to the beautiful world of polynomials and polyhedral objects, and their many relevant applications in real life.Specifically, the course covers two ...",Continuous Assesment,Pass 85.71%, 10, 8.21,14.290000000000006
LOJK10272U - SCIENCE,Applied Econometrics,Master, 7.5,1, B,This course aims at providing the student basic knowledge about relatively advanced regression models and methods that are relevant to applied economists. With a mix of econometric theory and applicat...,ITX (4h),Pass 96.51%, 7, 6.94,3.489999999999995
NIFK15003U - SCIENCE,Applied Economics of Consumption,Master, 7.5,4, C,In this course we consider the various aspects of empirical economic analysis from data generation to interpreting and using the results. An important objective of the course is to train the students ...,Oral (20m),Pass 100%, 10, 9.56,0.0
LOJK10282U - SCIENCE,Applied Economics of Forest and Nature,Master, 7.5,2, C,The course covers the following topics: Introduction to general economics of biological production and capital investment. Production economics and investment theory of forests and natural resources:...,ITX (4h),Pass 89.09%, 7, 6.87,10.909999999999997
NIGK16000U - SCIENCE,Applied Ecosystem Ecology,Master, 7.5,3, A,"The central idea of the course is to study the mechanisms and processes that control ecosystem functioning via interactions between organisms, the environment and human activities. With a focus on qua...","Written (2h)
Continuous Assesment",Pass 96.15%, 10, 8.52,3.8499999999999943
NIFK13003U - SCIENCE,Applied Environmental and Natural Resource Economics,Master, 7.5,4, B,"Assuming that the participants already have a comprehensive understanding of environmental and natural resource economics as well as basic understanding of relevant natural sciences, it is the objecti...","Assignment
Oral (20m)",Pass 100%, 10, 10.07,0.0
NIGK24014U - SCIENCE,Applied Ethnobotany,Master, 7.5,1, A,"The course will introduce students to research at the interface between several disciplines, using methods derived from botany, anthropology, ecology, economy, ethno-medicine, climate and conservation...","Oral (30m)
Assignment",Pass 100%, 10, 9.44,0.0
NGEK10002U - SCIENCE,Applied GIS and Geoinformatics for Urban Spatial Analysis,Master, 7.5,1, A,This course focuses on advanced spatial analysis using GIS/Geoinformatics in an urban context. The overall aim is to provide the participants with a solid understanding of relevant theories and method...,"Assignment
Oral (20m)",Pass 100%, 7, 7.9,0.0
NPLK18001U - SCIENCE,Applied Insect Ecology and Biological Control,Master, 7.5,2, B,"Management of insect pest populations requires an ecologically based knowledge and understanding of their biology, lifecycles and their interactions with host plants and with their natural enemies. Cl...",Oral (20m),Pass 100%, 10, 9.38,0.0
NFYK20002U - SCIENCE,Applied Machine Learning,Master, 7.5,4, C,The course will give the student an introduction to and a basic knowledge of Machine Learning (ML) and its use in various parts of data analysis. The focus will be on application through examples and ...,"Assignment
Continuous Assesment",Pass 94.37%, 10, 8.94,5.6299999999999955
NBIB14015U - SCIENCE,Applied Marine Biology (Marin),Bachelor, 7.5,1, B,"The course aims at linking knowledge on marine environment and organisms with applied cases, where such knowledge is required (e.g. climate change, eutrophication, pollution). The course will be based...",Oral (20m),Pass 97.62%, 7, 8.05,2.3799999999999955
LBIK10180U - SCIENCE,Applied Microbiology,Master, 7.5,2, A,"Microorganisms play vital roles in the environment including cycling of nutrients, causing and preventing diseases in other organisms, and a host of other essential functions. We can therefore use mic...",Oral (30m),Pass 100%, 10, 9.24,0.0
NDAK14007U - SCIENCE,Applied Programming (APP),Master, 7.5,4, C,"The purpose of the course is to introduce the programming language C/C++, key programming concepts in a scientific context, and guidelines for documentation. The course will enable the student to deve...",Continuous Assesment,Pass 97.18%, N/A, N/A,2.819999999999993
NMAK14003U - SCIENCE,Applied Statistics (AppStat),Master, 7.5,2, C,Each student carries out a statistical project (in a group) related to an experiment or a numerical investigation preferably delivered by one of the students in the group. A report is written in journ...,"Assignment
Oral (30m)",Pass 100%, N/A, N/A,0.0
NFYK13011U - SCIENCE,Applied Statistics: From Data to Results,Master, 7.5,2, B,"The course will give the student an introduction to and a basic knowledge of statistics and data analysis. The focus will be on the application of statistics and thus proofs are omitted, while example...","Continuous Assesment
Assignment (36h)",Pass 97.87%, 10, 8.41,2.1299999999999955
NIFK23007U - SCIENCE,Applied Trade and Climate Policy Models,Master, 7.5,2, B,"Students in the MSc programs in agricultural economics, environmental and resource economics, and related fields frequently encounter challenges in identifying and applying appropriate computational m...","Assignment
Oral (25m)",Pass 100%, 7, 7.42,0.0
NDAK16001U - SCIENCE,Approximation Algorithms (APX),Master, 7.5,4, A,"Many important computational problems are difficult or impossible to solve exactly or optimally. For example,many optimization problems are NP-hard,some problems have inputs so large that exact algori...",Oral (30m),Pass 85.71%, 10, 9.58,14.290000000000006
NIGK21006U - SCIENCE,Aqueous Geochemistry,Master, 7.5,1, A,"The course attendants will:Learn basics of aqueous speciation, mineral-, gas-, and redox-equilibria, and adsorption-desorption processes.Evaluate water-rock interactions controlling inorganic aqueous ...",Written (4h),Pass 100%, 12, 10.73,0.0
NNEB19000U - SCIENCE,Arbejdsfysiologi 1 - kredsløb og energiomsætning,Bachelor, 7.5,2, A,"Respiration, kredsløb og muskulær energiomsætning i hvile og under arbejde samteffekter af træning. ",ITX (3h),Pass 87.72%, 4, 4.97,12.280000000000001
NNEB19001U - SCIENCE,Arbejdsfysiologi 2 - endokrinologi og metabolisme,Bachelor, 7.5,3, B,"Basal fysiologisk læring om gastrointestinal funktion, endokrinologi og integreret stofskifte. Ændringer i disse under fysisk aktivitet og adaptationer til fysisk træning – samt betydningen af disse æ...",ITX (3h),Pass 77.78%, 4, 4.5,22.22
NBIK14013U - SCIENCE,Arctic Biology,Master, 7.5,4, B,"The course focuses on a deeper understanding of the Arctic flora and fauna, how Arctic ecosystems are structured and respond to environmental drivers.Lectures run throughout the course and present bot...",Oral (25m),Pass 92.31%, 10, 8.69,7.689999999999998
